date,Value
2016-03-01,579.0
2016-03-02,476.0
2016-03-03,510.0
2016-03-04,544.0
2016-03-05,634.0
2016-03-06,326.0
2016-03-07,554.0
2016-03-08,559.0
2016-03-09,464.0
2016-03-10,448.0
2016-03-11,532.0
2016-03-12,622.0
2016-03-13,304.0
2016-03-14,598.0
2016-03-15,439.0
2016-03-16,478.0
2016-03-17,416.0
2016-03-18,494.0
2016-03-19,693.0
2016-03-20,356.0
2016-03-21,468.0
2016-03-22,457.0
2016-03-23,458.0
2016-03-24,424.0
2016-03-25,482.0
2016-03-26,611.0
2016-03-27,312.0
2016-03-28,460.0
2016-03-29,465.0
2016-03-30,394.0
2016-03-31,526.0
2016-04-01,492.0
2016-04-02,716.0
2016-04-03,324.0
2016-04-04,372.0
2016-04-05,529.0
2016-04-06,509.0
2016-04-07,413.0
2016-04-08,555.0
2016-04-09,584.0
2016-04-10,296.0
2016-04-11,511.0
2016-04-12,435.0
2016-04-13,464.0
2016-04-14,500.0
2016-04-15,490.0
2016-04-16,638.0
2016-04-17,310.0
2016-04-18,470.0
2016-04-19,369.0
2016-04-20,442.0
2016-04-21,434.0
2016-04-22,528.0
2016-04-23,710.0
2016-04-24,348.0
2016-04-25,472.0
2016-04-26,445.0
2016-04-27,488.0
2016-04-28,484.0
2016-04-29,490.0
2016-04-30,628.0
2016-05-01,322.0
2016-05-02,396.0
2016-05-03,647.0
2016-05-04,552.0
2016-05-05,478.0
2016-05-06,602.0
2016-05-07,638.0
2016-05-08,308.0
2016-05-09,513.0
2016-05-10,455.0
2016-05-11,572.0
2016-05-12,448.0
2016-05-13,466.0
2016-05-14,557.0
2016-05-15,368.0
2016-05-16,552.0
2016-05-17,501.0
2016-05-18,475.0
2016-05-19,460.0
2016-05-20,477.0
2016-05-21,592.0
2016-05-22,378.0
2016-05-23,465.0
2016-05-24,509.0
2016-05-25,516.0
2016-05-26,488.0
2016-05-27,498.0
2016-05-28,588.266159322833
2016-05-29,316.0
2016-05-30,583.0
2016-05-31,512.0
2016-06-01,499.0
2016-06-02,616.0
2016-06-03,552.0
2016-06-04,720.0
2016-06-05,406.0
2016-06-06,532.0
2016-06-07,479.0
2016-06-08,494.0
2016-06-09,478.0
2016-06-10,488.0
2016-06-11,646.0
2016-06-12,380.0
2016-06-13,530.0
2016-06-14,565.0
2016-06-15,510.0
2016-06-16,508.0
2016-06-17,508.0
2016-06-18,673.0
2016-06-19,382.0
2016-06-20,535.0
2016-06-21,507.0
2016-06-22,657.0
2016-06-23,521.0
2016-06-24,586.0
2016-06-25,692.0
2016-06-26,406.0
2016-06-27,595.0
2016-06-28,489.0
2016-06-29,607.0
2016-06-30,631.0
2016-07-01,727.0
2016-07-02,669.0
2016-07-03,478.0
2016-07-04,676.0
2016-07-05,494.2831211967076
2016-07-06,580.0
2016-07-07,500.0
2016-07-08,600.0
2016-07-09,649.0
2016-07-10,396.0
2016-07-11,611.0
2016-07-12,531.0
2016-07-13,562.0
2016-07-14,530.0
2016-07-15,640.0
2016-07-16,656.0
2016-07-17,334.0
2016-07-18,606.0
2016-07-19,603.0
2016-07-20,516.0
2016-07-21,552.0
2016-07-22,588.0
2016-07-23,683.0
2016-07-24,354.0
2016-07-25,503.0
2016-07-26,549.0
2016-07-27,463.0
2016-07-28,520.0
2016-07-29,517.0
2016-07-30,745.0
2016-07-31,332.0
2016-08-01,496.0
2016-08-02,555.0
2016-08-03,551.0
2016-08-04,572.0
2016-08-05,593.0
2016-08-06,655.0
2016-08-07,426.0
2016-08-08,556.0
2016-08-09,493.0
2016-08-10,446.0
2016-08-11,570.0
2016-08-12,570.0
2016-08-13,816.0
2016-08-14,466.0
2016-08-15,558.0
2016-08-16,533.0
2016-08-17,552.0
2016-08-18,533.0
2016-08-19,608.0
2016-08-20,786.860076815691
2016-08-21,550.0
2016-08-22,702.0
2016-08-23,585.0
2016-08-24,574.0
2016-08-25,532.0
2016-08-26,520.0
2016-08-27,786.8600768156908
2016-08-28,448.0
2016-08-29,607.0
2016-08-30,529.0
2016-08-31,497.0
2016-09-01,475.0
2016-09-02,634.0
2016-09-03,853.0
2016-09-04,394.0
2016-09-05,626.0
2016-09-06,533.0
2016-09-07,466.0
2016-09-08,552.0
2016-09-09,582.0
2016-09-10,734.0
2016-09-11,388.0
2016-09-12,530.0
2016-09-13,559.0
2016-09-14,499.0
2016-09-15,541.0
2016-09-16,520.0
2016-09-17,819.0
2016-09-18,376.0
2016-09-19,484.0
2016-09-20,493.0
2016-09-21,470.0
2016-09-22,482.0
2016-09-23,488.0
2016-09-24,838.0
2016-09-25,354.0
2016-09-26,552.0
2016-09-27,509.0
2016-09-28,556.0
2016-09-29,546.0
2016-09-30,598.0
2016-10-01,677.0
2016-10-02,354.0
2016-10-03,554.0
2016-10-04,553.0
2016-10-05,492.0
2016-10-06,446.0
2016-10-07,460.0
2016-10-08,644.0
2016-10-09,416.0
2016-10-10,566.0
2016-10-11,439.0
2016-10-12,444.0
2016-10-13,446.0
2016-10-14,442.0
2016-10-15,667.0
2016-10-16,334.0
2016-10-17,508.0
2016-10-18,481.0
2016-10-19,470.0
2016-10-20,480.0
2016-10-21,550.0
2016-10-22,664.9571694089834
2016-10-23,384.0
2016-10-24,547.0
2016-10-25,497.0
2016-10-26,550.0
2016-10-27,512.0
2016-10-28,624.0
2016-10-29,785.0
2016-10-30,370.0
2016-10-31,600.0
2016-11-01,481.0
2016-11-02,517.0
2016-11-03,554.0
2016-11-04,580.0
